1,Picada de bollo,2900,
2,Mazorca americana,5700,
3,Mazorca desgranada,6900,
4,Salchipapa expres,7200,
5,Picada suiza,10800,
6,Picada suiza con maiz,13700,
7,Perro sencillo,4100,
8,Perro mexicano,5000,
9,Perro gemelo,5200,
10,Perro ranchero,5900,
11,Perro hawaino,6700,
12,Perro americano,6800,
13,Perro suizo,7400,
14,Perro italo-suizo,9900,
